keyword,title,link,summary,date,전처리,감성점수,감성결과
일론 머스크,"머스크, 트럼프 유세장 또 등장...“내가 정부 예산 2조달러 줄일 수 있...",https://www.etoday.co.kr/news/view/2413627," EToday = Reporter Kim Na-eun | Musk appears again as a speaker in Trump's hometown, New York. Ambition: ""We can reduce federal government spending by $2 trillion."" Trump pledges tax credits for family caregiving Trump's tax cut pledge also criticizes that it will increase fiscal deficit Tesla CEO (CEO) Tesla Republican presidential candidate former President Donald Trump... ",2024-10-28,"EToday   Reporter Kim Na eun   Musk appears again as a speaker in Trump s hometown, New York. Ambition   We can reduce federal government spending by  2 trillion.  Trump pledges tax credits for family caregiving Trump s tax cut pledge also criticizes that it will increase fiscal deficit Tesla CEO  CEO  Tesla Republican presidential candidate former President Donald Trump...",-0.34,Negative
일론 머스크,"머스크, 도지코인 이미지 게시로 5% 상승 촉발…DOGE 25% 추가 상승 가능...",http://coinreaders.com/129247,"Elon Musk posted a post containing an image of Dogecoin (DOGE), causing DOGE to surge by 5.06%. Musk, the founder of Space After the post, DOGE went from $0.1404 to 0....",2024-10-28,"Elon Musk posted a post containing an image of Dogecoin  DOGE , causing DOGE to surge by 5.06 . Musk, the founder of Space After the post, DOGE went from  0.1404 to 0....",0.0,Positive
일론 머스크,"우주로켓 '끝판왕' 스타십, 발사대로 회수 가능케 한 기술은",https://www.dongascience.com/news/view/68087,"A day that will go down in the engineering history books.' On the 13th (local time), Space Together, we came up with this evaluation. On this day, after launch, a Super Heavy with a height of about 70 meters...",2024-10-28,"A day that will go down in the engineering history books.  On the 13th  local time , Space Together, we came up with this evaluation. On this day, after launch, a Super Heavy with a height of about 70 meters...",0.6,Positive
일론 머스크,"머스크, ‘과거 미국서 불법 노동’ 보도에 “거짓말” 반박",https://www.munhwa.com/news/view.html?no=2024102801039910274019," WP “Starting a business without residency status”… Biden criticizes 'leading the way in anti-immigration' Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. According to the Washington Post (WP), an American daily newspaper, on the 27th (local time), Musk wrote on ",2024-10-28,"WP  Starting a business without residency status   Biden criticizes  leading the way in anti immigration  Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. According to the Washington Post  WP , an American daily newspaper, on the 27th  local time , Musk wrote on",0.17,Positive
일론 머스크,“트럼프 재선 가능성에…빅테크 CEO 잇단 ‘러브콜’”,http://www.joseilbo.com/news/news_read.php?uid=528630&class=42&grp=,"Former President Trump already considers Tesla CEO Elon Musk to be his supporter and financial backer, having invested at least $132 million (about 183.7 billion won). In addition to funding 'America Pac', a super PAC (political fund raising group) established to support former President Trump's election, Musk...",2024-10-28,"Former President Trump already considers Tesla CEO Elon Musk to be his supporter and financial backer, having invested at least  132 million  about 183.7 billion won . In addition to funding  America Pac , a super PAC  political fund raising group  established to support former President Trump s election, Musk...",0.91,Positive
일론 머스크,뉴욕서 트럼프 지원 유세하는 머스크 테슬라 CEO,https://www.news1.kr/photos/6952940,Tesla CEO Elon Musk is campaigning in support of Republican presidential candidate former President Donald Trump's election rally held near Madison Square Garden in New York on the 27th (local time). 2024.10.28 ⓒ AFP=News 1,2024-10-28,Tesla CEO Elon Musk is campaigning in support of Republican presidential candidate former President Donald Trump s election rally held near Madison Square Garden in New York on the 27th  local time . 2024.10.28   AFP News 1,0.4,Positive
일론 머스크,트럼프 집회서 주먹 불끈 쥐고 포효하는 머스크 CEO,https://www.news1.kr/photos/6952959,Tesla CEO Elon Musk clenches his fist and roars while attending the election rally of Republican presidential candidate former President Donald Trump held near Madison Square Garden in New York on the 27th (local time). 2024.10.28 ⓒ AFP=News 1,2024-10-28,Tesla CEO Elon Musk clenches his fist and roars while attending the election rally of Republican presidential candidate former President Donald Trump held near Madison Square Garden in New York on the 27th  local time . 2024.10.28   AFP News 1,0.0,Neutral
일론 머스크,"일론 머스크 전용기, 내가 834년 쓸 탄소 1년 만에 내뿜는다",https://www.hankookilbo.com/News/Read/A2024102810160003838?did=NA," “The carbon emissions from the investments, private jets, and megayachts of the world’s 50 richest super-rich people are greater than the carbon emissions from the consumption of the world’s poorest 2%, or the 155 million poorest people in the world.” ""Elon Musk (Tesla CEO) owns more than two private jets that emit a total of 5,497 tons of carbon dioxide per year. This means... ",2024-10-28,"The carbon emissions from the investments, private jets, and megayachts of the world s 50 richest super rich people are greater than the carbon emissions from the consumption of the world s poorest 2 , or the 155 million poorest people in the world.   Elon Musk  Tesla CEO  owns more than two private jets that emit a total of 5,497 tons of carbon dioxide per year. This means...",0.75,Positive
일론 머스크,"머스크, '과거 미국서 불법 노동' 보도에 ""거짓말"" 반박",https://www.ytn.co.kr/_ln/0104_202410282301462900," Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. Musk took aim at the Washington Post (WP), which first reported on social media ",2024-10-28,"Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. Musk took aim at the Washington Post  WP , which first reported on social media",0.39,Positive
일론 머스크,"머스크, 올인했는데…""트럼프 승리하면 테슬라 中사업 시험대에""",https://www.yna.co.kr/view/AKR20241028074700009?input=1195m," When Trump returns to power, attention is paid to the impact of China, Tesla's largest overseas market. ""China views the close relationship between Trump and Musk positively"" If former President Donald Trump, the Republican presidential candidate, is re-elected, the Chinese business of Tesla, the electric car company led by Elon Musk, will be tested. It looks like it will rise. Musk is threatening to impose high tariffs... ",2024-10-28,"When Trump returns to power, attention is paid to the impact of China, Tesla s largest overseas market.  China views the close relationship between Trump and Musk positively  If former President Donald Trump, the Republican presidential candidate, is re elected, the Chinese business of Tesla, the electric car company led by Elon Musk, will be tested. It looks like it will rise. Musk is threatening to impose high tariffs...",0.08,Positive
일론 머스크,"수세' 해리스, 흑인 집토끼 단속…'공세' 트럼프, 뉴욕 산토끼 사냥",https://www.joongang.co.kr/article/25287603," Trump's convention-level rally began around 5 p.m. The event included vice presidential candidate Senator JD Vance, Trump's eldest son Donald Trump Jr., his second son Eric Trump and his wife, conservative commentator Tucker Carlson, mixed martial arts (UFC) representative Dana White, and Elon Musk Tesla. The CEO and others appeared as supporting speakers, making it feel like a national convention... ",2024-10-28,"Trump s convention level rally began around 5 p.m. The event included vice presidential candidate Senator JD Vance, Trump s eldest son Donald Trump Jr., his second son Eric Trump and his wife, conservative commentator Tucker Carlson, mixed martial arts  UFC  representative Dana White, and Elon Musk Tesla. The CEO and others appeared as supporting speakers, making it feel like a national convention...",0.66,Positive
일론 머스크,"트럼프, '민주텃밭' 뉴욕서 전당대회급 세몰이…멜라니아도 등판",https://www.yna.co.kr/view/AKR20241028048800071?input=1195m," In addition, pro-Trump figures such as Phil McGraw, known as 'Dr. Phil', conservative commentator Tucker Carlson, former professional wrestler Hulk Hogan, mixed martial arts (UFC) representative Dana White, and Tesla CEO Elon Musk also showed their support. The speech was conducted at the national convention level. “In order to prevent what you know from happening,” Musk said, “... ",2024-10-28,"In addition, pro Trump figures such as Phil McGraw, known as  Dr. Phil , conservative commentator Tucker Carlson, former professional wrestler Hulk Hogan, mixed martial arts  UFC  representative Dana White, and Tesla CEO Elon Musk also showed their support. The speech was conducted at the national convention level.  In order to prevent what you know from happening,  Musk said,  ...",0.42,Positive
일론 머스크,"머스크, 올인했는데…""트럼프 승리하면 테슬라 중국 사업 시험대에""",https://news.sbs.co.kr/news/endPage.do?news_id=N1007850558&plink=ORI&cooper=NAVER,"▲ Elon Musk speaking at former President Donald Trump's (left) campaign rally If former President Donald Trump, the US Republican presidential candidate, is re-elected, the Chinese business of Tesla, an electric vehicle company led by Elon Musk, is expected to be tested. Trump, who has been predicting a confrontation with China, with Musk threatening to impose high tariffs...",2024-10-28,"Elon Musk speaking at former President Donald Trump s  left  campaign rally If former President Donald Trump, the US Republican presidential candidate, is re elected, the Chinese business of Tesla, an electric vehicle company led by Elon Musk, is expected to be tested. Trump, who has been predicting a confrontation with China, with Musk threatening to impose high tariffs...",-0.78,Negative
일론 머스크,"머스크, 자신을 불법 취업자였다고 비난한 바이든에 반박",http://www.g-enews.com/ko-kr/news/article/news_all/202410280710055364da65389f94_1/article.html," On the 27th (local time), Tesla CEO Elon Musk refuted US President Joe Biden's claim that he was once employed illegally. President Biden said in Pennsylvania, a battleground state where he visited the election support campaign the day before, ""The richest man in the world (Musk) was an illegal worker when he came to the United States. He entered the country on a student visa... ",2024-10-28,"On the 27th  local time , Tesla CEO Elon Musk refuted US President Joe Biden s claim that he was once employed illegally. President Biden said in Pennsylvania, a battleground state where he visited the election support campaign the day before,  The richest man in the world  Musk  was an illegal worker when he came to the United States. He entered the country on a student visa...",0.38,Positive
일론 머스크,일론 머스크 테슬라 CEO 환영 받는 멜라니아 여사,https://www.news1.kr/photos/6952918,"Melania Trump, wife of former US Republican presidential candidate Donald Trump, attends an election rally held near Madison Square Garden in New York on the 27th (local time) and is welcomed by Tesla CEO Elon Musk. 2024.10.28 ⓒ AFP=News 1",2024-10-28,"Melania Trump, wife of former US Republican presidential candidate Donald Trump, attends an election rally held near Madison Square Garden in New York on the 27th  local time  and is welcomed by Tesla CEO Elon Musk. 2024.10.28   AFP News 1",0.34,Positive
일론 머스크,"‘내가 미는 트럼프, 테슬라에 소중한 중국을 때리네’...난감한 머스크",https://www.khan.co.kr/world/world-general/article/202410281451001,"The Wall Street Journal (WSJ) reported that Tesla CEO Elon Musk, who has publicly supported former President Donald Trump, the U.S. Republican presidential candidate, faces an unexpected dilemma. This is because if former President Trump, who has predicted a sharp confrontation with China by imposing high tariffs, is elected, there could be a ‘headwind’ for Tesla’s successful Chinese business....",2024-10-28,"The Wall Street Journal  WSJ  reported that Tesla CEO Elon Musk, who has publicly supported former President Donald Trump, the U.S. Republican presidential candidate, faces an unexpected dilemma. This is because if former President Trump, who has predicted a sharp confrontation with China by imposing high tariffs, is elected, there could be a  headwind  for Tesla s successful Chinese business....",0.4,Positive
일론 머스크,"머스크 ""국민 등에 들러붙은 정부 떼겠다…2조 달러 절약"" 약속",https://www.news1.kr/world/usa-canada/5581851," In a speech supporting Donald Trump on the 27th (local time), Tesla CEO Elon Musk assured that if Trump becomes president, he will become chairman of the Efficiency Committee and save the country $2 trillion (about 2,770 trillion won). According to American media, at Trump's rally held at Madison Square Garden in New York that day, he said, ""In the history of the United States... ",2024-10-28,"In a speech supporting Donald Trump on the 27th  local time , Tesla CEO Elon Musk assured that if Trump becomes president, he will become chairman of the Efficiency Committee and save the country  2 trillion  about 2,770 trillion won . According to American media, at Trump s rally held at Madison Square Garden in New York that day, he said,  In the history of the United States...",0.95,Positive
일론 머스크,"불법 체류 신분' 의혹에 머스크 ""비자 받아 합법적으로 일했다""",https://www.dailian.co.kr/news/view/1422178/?sc=Naver,"Tesla CEO Elon Musk, who was suspected of having worked as an illegal alien, explained that he worked legally by receiving a cultural exchange visa. According to the Washington Post (WP), CEO Musk said on the 27th (local time) through X (formerly Twitter), “I worked in the United States with legal status. President Joe Biden's...",2024-10-28,"Tesla CEO Elon Musk, who was suspected of having worked as an illegal alien, explained that he worked legally by receiving a cultural exchange visa. According to the Washington Post  WP , CEO Musk said on the 27th  local time  through X  formerly Twitter ,  I worked in the United States with legal status. President Joe Biden s...",0.23,Positive
일론 머스크,빅테크 CEO들 앞다퉈 트럼프에 전화...관계 개선 분주,https://www.etoday.co.kr/news/view/2413723,"Tesla CEO Elon Musk is fully supporting former President Trump. Musk, who appeared with Trump at an election campaign site in Pennsylvania earlier this month and appealed for his support by jumping and dancing, also appeared at a campaign site in New York that day and grabbed the microphone. He said, “If Trump is elected president, there will be a minimum in the federal budget...",2024-10-28,"Tesla CEO Elon Musk is fully supporting former President Trump. Musk, who appeared with Trump at an election campaign site in Pennsylvania earlier this month and appealed for his support by jumping and dancing, also appeared at a campaign site in New York that day and grabbed the microphone. He said,  If Trump is elected president, there will be a minimum in the federal budget...",0.71,Positive
일론 머스크,"오래된 부자는 트럼프, 신흥 부자는 해리스… 美 대선서 갈린 ‘쩐의 전...",https://biz.chosun.com/international/international_general/2024/10/28/V7NVQ3LKJZBATBAFD5DIBGL4FI/?utm_source=naver&utm_medium=original&utm_campaign=biz,"The most famous billionaire on Trump's side is Tesla CEO Elon Musk. As of mid-month, Musk had donated more than $118 million (about 164.1 billion won) to America Pac, a Trump support group. He even promised to give $1 million to one registered voter in Pennsylvania, a key swing state, every day. Emerging IT...",2024-10-28,"The most famous billionaire on Trump s side is Tesla CEO Elon Musk. As of mid month, Musk had donated more than  118 million  about 164.1 billion won  to America Pac, a Trump support group. He even promised to give  1 million to one registered voter in Pennsylvania, a key swing state, every day. Emerging IT...",0.84,Positive
일론 머스크,"머스크, 과거 불법 체류? ""거짓말"" 반박",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202410280227&t=NN," Tesla CEO Elon Musk denied allegations that he had worked illegally in the United States without residency status in the past. According to the Washington Post (WP), an American daily newspaper, on the 27th (local time), Musk first reported on cast... ",2024-10-28,"Tesla CEO Elon Musk denied allegations that he had worked illegally in the United States without residency status in the past. According to the Washington Post  WP , an American daily newspaper, on the 27th  local time , Musk first reported on cast...",0.39,Positive
일론 머스크,"일론 머스크 ""트럼프 당선 시 연방 예산 2조달러 삭감할 것""",https://www.digitaltoday.co.kr/news/articleView.html?idxno=538896," Elon Musk and Trump [Photo: Shutterstock] Tesla CEO Elon Musk claimed that at least $2 trillion could be cut from the federal budget if former President Donald Trump is elected. According to Bloomberg News on the 27th (local time), Musk said at a recent rally in support of Trump, ""Your money is being wasted. We need help from the government... ",2024-10-28,"Elon Musk and Trump  Photo  Shutterstock  Tesla CEO Elon Musk claimed that at least  2 trillion could be cut from the federal budget if former President Donald Trump is elected. According to Bloomberg News on the 27th  local time , Musk said at a recent rally in support of Trump,  Your money is being wasted. We need help from the government...",0.03,Neutral
일론 머스크,"일론 머스크, '3년간, 13개국 정치인들과 32차례 회동'… 정치 무대에서...",https://www.daily365.news/2024/10/28/%ec%9d%bc%eb%a1%a0-%eb%a8%b8%ec%8a%a4%ed%81%ac-3%eb%85%84%ea%b0%84-13%ea%b0%9c%ea%b5%ad-%ec%a0%95%ec%b9%98%ec%9d%b8%eb%93%a4%ea%b3%bc-32%ec%b0%a8%eb%a1%80-%ed%9a%8c%eb%8f%99-%ec%a0%95/," He held 32 meetings with politicians from 13 countries over 3 years, actively sought to attract investment from Tesla, and strengthened his position in American politics by declaring his support for Trump... Possibility of participation in the next administration raised On April 28, Tesla CEO Elon Musk unofficially visited China and met with high-ranking Chinese officials. (Photo = The Standard) Elon Musk recently... ",2024-10-28,"He held 32 meetings with politicians from 13 countries over 3 years, actively sought to attract investment from Tesla, and strengthened his position in American politics by declaring his support for Trump... Possibility of participation in the next administration raised On April 28, Tesla CEO Elon Musk unofficially visited China and met with high ranking Chinese officials.  Photo   The Standard  Elon Musk recently...",0.85,Positive
일론 머스크,"﻿中, 트럼프 집권시 '친중' 머스크의 ﻿美·中 무역 전쟁 중재 기대",http://www.g-enews.com/ko-kr/news/article/news_all/2024102707063965776b49b9d1da_1/article.html,"As Tesla CEO Elon Musk steps forward to win the election of former U.S. President Donald Trump, China expects Musk to act as a mediator in the U.S.-China trade war when Trump returns to power, according to the Wall Street Journal (WSJ) This was reported on the 26th (local time). However, a Yahoo Finance survey found that Musk's...",2024-10-28,"As Tesla CEO Elon Musk steps forward to win the election of former U.S. President Donald Trump, China expects Musk to act as a mediator in the U.S. China trade war when Trump returns to power, according to the Wall Street Journal  WSJ  This was reported on the 26th  local time . However, a Yahoo Finance survey found that Musk s...",-0.03,Neutral
일론 머스크,"트럼프, 민주당 텃밭 뉴욕에서 ‘콘서트’ 같은 대형집회",https://www.kmib.co.kr/article/view.asp?arcid=0020665258&code=61131111&cp=nv,"Tesla CEO Elon Musk also participated in the campaign and gave a passionate speech. Musk said, “Let’s have early voting. “Let’s vote now,” he said. He even shouted “USA” and cheered. Around the place where the rally was held that day, red signs with the words ‘MAGA (Make America Great Again)’ were painted even before Trump’s speech...",2024-10-28,"Tesla CEO Elon Musk also participated in the campaign and gave a passionate speech. Musk said,  Let s have early voting.  Let s vote now,  he said. He even shouted  USA  and cheered. Around the place where the rally was held that day, red signs with the words  MAGA  Make America Great Again   were painted even before Trump s speech...",0.9,Positive
일론 머스크,[사진] 트럼프 지원 유세하는 머스크,https://www.newspim.com/news/view/20241028000781,"Tesla CEO Elon Musk is campaigning in support of former President Donald Trump, the Republican presidential candidate, at Madison Square Garden in New York, New York, USA, on the 27th (local time). 2024.10.28 wonjc6@newspim.com",2024-10-28,"Tesla CEO Elon Musk is campaigning in support of former President Donald Trump, the Republican presidential candidate, at Madison Square Garden in New York, New York, USA, on the 27th  local time . 2024.10.28 wonjc6 newspim.com",0.4,Positive
일론 머스크,"머스크, ‘미국 불법 노동’ 의혹 반박…WP 겨냥 “바이든 꼭두각시가 ...",https://news.heraldcorp.com/view.php?ud=20241028050722,"Tesla CEO Elon Musk denied allegations that he had worked illegally in the United States without residency status in the past. According to the American daily Washington Post (WP) on the 27th (local time), Musk posted on .",2024-10-28,"Tesla CEO Elon Musk denied allegations that he had worked illegally in the United States without residency status in the past. According to the American daily Washington Post  WP  on the 27th  local time , Musk posted on .",0.39,Positive
일론 머스크,혼신의 힘을 다해' 트럼프 미는 머스크,https://www.gukjenews.com/news/articleView.html?idxno=3120953,Photo provided/AFP = Tesla CEO Elon Musk is raising his hand while going on stage at Republican presidential candidate Donald Trump's campaign rally held at Madison Square Garden in New York City on the 27th (local time).,2024-10-28,Photo provided AFP   Tesla CEO Elon Musk is raising his hand while going on stage at Republican presidential candidate Donald Trump s campaign rally held at Madison Square Garden in New York City on the 27th  local time .,0.49,Positive
일론 머스크,"일론 머스크, 푸틴과 2년간 접촉했다?…양측 ""가짜 정보""",https://www.digitaltoday.co.kr/news/articleView.html?idxno=538911,"Elon Musk [Photo: Shutterstock] It has been reported that Tesla CEO Elon Musk has been in regular contact with Russian President Vladimir Putin for about two years. According to IT media Astechnica on the 25th (local time), the Wall Street Journal (WSJ) reported this, citing an informed source. According to reports, the two had a conversation...",2024-10-28,"Elon Musk  Photo  Shutterstock  It has been reported that Tesla CEO Elon Musk has been in regular contact with Russian President Vladimir Putin for about two years. According to IT media Astechnica on the 25th  local time , the Wall Street Journal  WSJ  reported this, citing an informed source. According to reports, the two had a conversation...",0.0,Neutral
일론 머스크,"빅테크, 재선 가능성에 트럼프와 관계개선 시도…트럼프는 즐겨",https://www.yna.co.kr/view/AKR20241028003100071?input=1195m," On the surface, the CEOs of Apple, Google, and Amazon are less involved in partisan politics than Tesla CEO Elon Musk, who is directly running to elect former President Trump, but their actions can affect the stock market and the U.S. economic outlook, CNN said. did it Trump's side criticized this move by CEOs, saying that the business community... ",2024-10-28,"On the surface, the CEOs of Apple, Google, and Amazon are less involved in partisan politics than Tesla CEO Elon Musk, who is directly running to elect former President Trump, but their actions can affect the stock market and the U.S. economic outlook, CNN said. did it Trump s side criticized this move by CEOs, saying that the business community...",-0.44,Negative
일론 머스크,"“호화 요트·전용기 타는 상위 1% 부자, 일반인 수백년치 탄소 배출”",https://www.joongang.co.kr/article/25287701," A report has been released stating that carbon emissions from the world's top 1% of rich people, including Amazon founder Jeff Bezos and Tesla CEO Elon Musk, are worsening hunger and poverty. According to the British daily Guardian on the 28th, the international relief and development organization Oxfam made this assessment in its report ‘Carbon Inequality that Kills Life’ published on the same day.... ",2024-10-28,"A report has been released stating that carbon emissions from the world s top 1  of rich people, including Amazon founder Jeff Bezos and Tesla CEO Elon Musk, are worsening hunger and poverty. According to the British daily Guardian on the 28th, the international relief and development organization Oxfam made this assessment in its report  Carbon Inequality that Kills Life  published on the same day....",-0.38,Negative
일론 머스크,"머스크, ‘과거 미국서 불법 노동’ 보도에 “거짓말” 반박",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8092375&ref=A," Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. According to local U.S. media, Musk targeted the U.S. daily Washington Post (WP), which reported a related issue on ",2024-10-28,"Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. According to local U.S. media, Musk targeted the U.S. daily Washington Post  WP , which reported a related issue on",0.39,Positive
일론 머스크,"""中, 트럼프-머스크 관계 긍정적 평가…강경 관세 정책 변할 수도""",https://view.asiae.co.kr/article/2024102814101693487," The Wall Street Journal (WSJ) reported on the 26th (local time) that the Chinese government is positively evaluating the close relationship between Tesla CEO Elon Musk and former Republican President Trump. Former President Trump announced that he would impose a high tariff of 60% on imported goods manufactured in China, and Tesla opened its largest overseas factory in China... ",2024-10-28,"The Wall Street Journal  WSJ  reported on the 26th  local time  that the Chinese government is positively evaluating the close relationship between Tesla CEO Elon Musk and former Republican President Trump. Former President Trump announced that he would impose a high tariff of 60  on imported goods manufactured in China, and Tesla opened its largest overseas factory in China...",0.3,Positive
